paper
Software documentation and augmented reality: love or arranged marriage?
XRaSE: towards virtually tangible software using augmented reality
Visualizing and Interacting with Hierarchical Menus in Immersive Augmented Reality
Augmented and Virtual Reality Object Repository for Rapid Prototyping
Using augmented reality in software engineering education? First insights to a comparative study of 2D and AR UML modeling
Unleashing the potentials of immersive augmented reality for software engineering
Analysis of error rate in hierarchical menu selection in immersive augmented reality
Visual analysis of software systems in virtual and augmented reality
VisAr3D: an approach to software architecture teaching based on virtual and augmented reality
